const;valor_cotado_log;descricao_tam_caracteres;descricao_qtd_palavras;qtd_itens_lote;InfoReq;ArqReq;Regiao[Centro-Oeste];Regiao[Nordeste];Regiao[Norte];Regiao[Sul];Modalidade[CONCORRÊNCIA ELETRÔNICA];Modalidade[CREDENCIAMENTO];Modalidade[DISPENSA ELETRÔNICA];Modalidade[LEILÃO ELETRÔNICO];Modalidade[LICITAÇÃO 13.303];Modalidade[SELEÇÃO PÚBLICA];TipoDisputa[MAIOR DESCONTO];TipoDisputa[MAIOR LANCE];TipoDisputa[MELHOR TÉCNICA];TipoDisputa[MELHOR TÉCNICA E PREÇO];TipoEncerramento[ABERTO E FECHADO];TipoEncerramento[FECHADO];TipoEncerramento[FECHADO E ABERTO];TipoLance[GLOBAL];TipoLance[KIT];tipo_lote_calc[Lote global];tipo_lote_calc[Lote global/kit];grupo_exclusividade_regionalidade[ME_EPP_E_REGIONAL_LOCAL];grupo_exclusividade_regionalidade[SOMENTE_ME_EPP];grupo_exclusividade_regionalidade[SOMENTE_REGIONAL_LOCAL];familia_textual_ml[FAMILIAS_RARAS_MENOS_100];familia_textual_ml[FAMILIA_02];familia_textual_ml[FAMILIA_05];familia_textual_ml[FAMILIA_07];familia_textual_ml[FAMILIA_09];familia_textual_ml[FAMILIA_10];familia_textual_ml[FAMILIA_12];familia_textual_ml[FAMILIA_14];familia_textual_ml[FAMILIA_16];familia_textual_ml[FAMILIA_17];familia_textual_ml[FAMILIA_18];familia_textual_ml[FAMILIA_19];termo
0.002925171181005357;1.5755241321263158e-05;-1.2345218517908918e-05;1.1098031401676032e-05;0.0004968849495759984;-0.0001445941597437609;0.000339305292764837;-0.0010357834332963582;-0.0015331703563190478;-0.0006640602165614054;-0.0008489500135501331;-0.007972151752655384;-0.00022863189245634111;-0.0001416295782665944;0.007850538570455715;1.2275343184534083e-05;-0.00021527016514803163;0.0002289047244978942;0.0003505416095750267;0.00720222133267827;0.0077263878421082064;-0.00030504598996255235;-0.000635181626496152;-0.0008856888097840328;-0.0003518742081024612;-0.0007672559870926197;-0.0024640597506531228;-0.0012645813355739027;-0.0011017360816149362;-0.0005114097448491844;-0.0008879788498933361;-0.0013483079862939204;-0.0004899600878806718;-4.8903254458279963e-05;-0.00038875356311414547;0.0009440357895424143;-0.0003184482556927901;-0.00033559037534420795;0.0001289243255624229;-0.0002435563228072059;0.0004637883025408329;-0.0005433967028776501;-0.0007930556517337949;const
1.575524132126291e-05;7.966413764050833e-05;7.144196558848811e-05;-6.011222438279274e-05;9.005740124501336e-06;4.3813587067237056e-05;-0.00022667228450369813;-3.726890134980635e-05;-0.00021437062163308908;-2.2293158442007468e-05;-0.0001362857287443633;-0.0010969875955312903;-8.234300402601209e-05;-0.0002489360286537845;-0.0006364508310741393;-2.9818784998312e-05;3.4440468573477676e-05;-0.00034274105992456133;-4.6529892757800216e-05;0.0010546236693743094;0.0004708391746051643;-6.650840504353747e-05;0.00010525966893205058;-0.00024192380166226953;-7.476374257284664e-05;5.8658287875089665e-05;0.00029393062232420966;0.0005586381925340059;0.0002216030419573428;0.00021956406296333938;0.00013771855906402283;-5.059768803966684e-05;5.629832820721642e-05;-0.00014562045434397944;5.1208872760845814e-05;0.00015780434548521717;5.7560277794921856e-05;-0.00014067890797928346;0.0036983403282364823;0.0018043403581567336;0.000447813090019396;2.1897439047503703e-05;2.9910353982783467e-05;valor_cotado_log
-1.234521851790883e-05;7.144196558848776e-05;0.0005893546659055986;-0.0004541588099080989;-3.114079909560171e-05;-0.00026653736627766945;0.00031648786897977904;-8.322778079647726e-05;-0.0007217313156221538;0.00015658874803075684;-0.00027281096343019024;-0.0005998652721054923;-0.00014346075680288196;-0.00036149789056466526;-0.0011492434380002128;6.290298864490124e-05;-8.882088263803316e-05;-0.00048743364581833095;-4.499421508392237e-05;0.0011482189488249187;-9.800497491872709e-05;0.00011717393373556216;7.592411138303878e-05;-0.00026911021012269537;9.302508880228471e-05;0.0002443513550411034;0.0005713065785758702;0.0011030133989666487;-0.00027227114578671894;0.00038658492988290807;-0.0002883798774756654;-5.42692000705808e-05;0.00012398165060316553;-0.0002070034353300917;-0.000680516011553567;-3.5199972927510705e-05;0.00026414777108915515;-0.00029284924397807605;0.007029478950687669;0.0033934851189181036;0.0004545702991108474;2.8435674554051002e-05;0.00012588355235457956;descricao_tam_caracteres
1.1098031401675163e-05;-6.011222438279246e-05;-0.0004541588099080963;0.00035453551013451884;2.853510430582845e-05;0.0002337222497393883;-0.0002792225566018444;7.087407571058438e-05;0.0005567462582275553;-8.31218723075044e-05;0.00021818153334476914;0.00045929241807599427;0.00013579593978996893;0.00031132482630022836;0.0009327444372027308;-3.2715013376554334e-05;6.206819949368377e-05;0.00042255615816545104;3.437417274440935e-05;-0.000891834423965096;0.00014425261911207003;-7.462951557361366e-05;-6.6986361053645e-05;0.000246642341781096;-6.654102992313095e-05;-0.00019983317148671915;-0.0004996061105727859;-0.0009299850705495106;0.00017081653187604406;-0.0003173130835729297;0.0001640124990687966;4.547979541859407e-05;-9.517904420555848e-05;0.00016104087243016093;0.0004862422467446796;3.035298028857245e-05;-0.00021114751004724702;0.0002491187483185992;-0.005777034480363928;-0.002810987669247795;-0.00038757102026571724;2.5769756575304325e-05;-0.0001009192506780652;descricao_qtd_palavras
0.000496884949575998;9.005740124501443e-06;-3.114079909560143e-05;2.8535104305828284e-05;0.00020978438372737745;6.22963454099428e-05;-0.00018035422402146433;7.982800956399896e-05;0.0001535363876901843;-7.559705450853271e-05;6.521014936065834e-05;-0.0030671956937635323;0.00022513834286409532;0.00024060299770528853;0.002967753107421078;5.787812797580579e-05;-0.00011033039702849492;0.00018014408130448607;0.00035658539007158644;0.003192989302111201;0.003170418072103083;0.0001075122900903848;-0.00013990474504210865;-0.000343971638087922;-2.648020856597368e-05;0.00038475958206202914;-0.0010248964983595409;-0.0006605267113834879;0.00016273981964854342;-6.427887962147192e-06;0.00024365769238927695;-0.0005246639400286467;-8.585735413783805e-06;-3.113043258088869e-05;0.00013414142165614343;-9.994955529080801e-06;-1.4642526564730224e-05;6.884494132083101e-05;-0.0011320772968021293;-0.0008281319373411516;0.00042935173934350695;-0.000139776037005011;-8.428654625562294e-05;qtd_itens_lote
-0.00014459415974375976;4.381358706723709e-05;-0.00026653736627767;0.00023372224973938893;6.229634540994305e-05;0.061055664105189845;-0.07091367412332734;-0.0012471997135194521;0.0008371503526362982;1.0890852022314219e-06;0.001157634056953685;0.0015584189454184985;-0.00015367481807276864;0.0005842101731674634;-0.0026547623797436473;0.0006131755078883591;0.001951322629798908;0.0002108471915956742;-0.0010346994506157006;-0.002877919174724969;-0.0030439527004230004;-0.001321120481047008;0.0008123208297742634;0.00036508294870361266;-0.00015676431081393415;0.0033417286714897375;-0.00198270541954888;-0.0015819579710714103;-0.00032033107325192637;-0.0005715298959078897;0.001113674550814548;0.0005981682554955411;0.000700339431332733;0.0009039292679825483;0.000508199965511366;0.0008969561384288372;2.5166432376653797e-05;0.002229748263693881;-0.009856658265717013;-0.0045599579070496055;0.00021357143228572045;0.004586582495522348;0.0007727541338579835;InfoReq
0.0003393052927648378;-0.00022667228450369797;0.0003164878689797808;-0.00027922255660184543;-0.00018035422402146439;-0.07091367412332741;0.11885700000618327;-0.0014853482813195584;-0.004596165408192957;0.0026644947257506717;-0.0008654060132550241;-0.000930332276207811;0.0018819581511724157;0.000504035707975992;0.010857599475608708;0.0016384935000334272;-0.0007518317351302346;0.0010778774896581834;0.0012413171258420764;0.003189091277872219;0.003487489623581934;0.0034701848157085943;-0.0009731366497756622;0.00015971739946679602;0.0003725932749935313;-0.00257696712421995;0.001338132820721544;1.9645321900214596e-05;-0.0038241273557425583;-5.857783513995261e-05;-0.00634387601233596;-0.0008836950921646857;-0.000482256104671992;-0.00040213997182015726;-0.0062120050519773335;-3.6431218008394876e-05;-0.00102171768289954;-0.002166734054092359;0.0036228577363238384;0.0007554302478709554;-0.0015299602275821987;-0.0064414716822489655;-0.0011472057450731;ArqReq
-0.001035783433296359;-3.726890134980623e-05;-8.322778079647684e-05;7.087407571058347e-05;7.982800956399884e-05;-0.0012471997135194532;-0.0014853482813195584;0.005851354078517598;0.0024116095571961402;0.0019260727450248702;0.0017951813560511528;0.00015275604651852854;-0.001676530359157441;0.0006868012941627557;0.0009104567721934414;-0.0016990754415350375;-0.003553818195202389;0.000392632678451121;-0.00024434063815123873;-2.4166360533655057e-05;0.000690833523342201;0.00034089038461750993;0.0004360837681093633;0.0008726562262412194;-0.00014190596970712198;0.0017944318420613436;-0.0012843944580743839;-0.0019169478324290341;-0.00019840301989936738;-0.0009707417244910954;-0.0013570844562054098;0.0007591272022561081;-4.4281610029396665e-05;-0.0003262956422490868;0.0017266247460375865;-0.0003768207370236832;0.000745690489794921;0.000235880778742484;-0.011183939309736306;-0.005925190350689025;0.0039773453213779765;-0.00019478798271748698;-6.047971903136693e-05;Regiao[Centro-Oeste]
-0.0015331703563190462;-0.00021437062163308918;-0.0007217313156221521;0.0005567462582275532;0.00015353638769018404;0.0008371503526363;-0.004596165408192959;0.0024116095571961368;0.024714830331383515;-0.0034504661797411843;0.002827428250530263;0.004732800858354373;-3.276595410938231e-05;0.0011394372729361553;-0.01892252747785828;-0.00029391897340500943;0.0010138592616248947;0.0008528366236750128;-0.00032545188395191534;-0.004929103696183576;-0.0022119513658158253;-0.0011051494941093434;4.28349247298115e-05;-0.002978545447755456;-0.00624828391367964;-0.0010766187627961736;0.0024125014404476766;-0.0029447792973081167;0.008951026171227134;-0.0019513024882069768;0.010322711052757855;-4.649236995095374e-05;-0.0011385873936557531;-0.0015724557311009857;0.015029243362341033;-0.007564633006244863;-0.0010305609033697844;-0.0011542424908824367;-0.03925337885792503;-0.019127783227942684;-0.0015171133799344475;-0.000926076117842257;-0.001719324301238462;Regiao[Nordeste]
-0.0006640602165614072;-2.229315844200746e-05;0.00015658874803075524;-8.312187230750428e-05;-7.559705450853273e-05;1.0890852022317234e-06;0.0026644947257506713;0.0019260727450248708;-0.0034504661797411856;0.11382321371316304;0.0027370944087241793;0.0012984672642020114;-0.0049580877369123765;0.0018346639858464766;0.007201874204798579;0.0003262886151000174;-0.001955889468237432;0.0016757434359924196;-0.001818920676410075;-0.005021941484577615;-0.004515326547911551;0.0016096775279177105;0.003979879468167771;0.004349437554789923;0.0002755926240036843;0.005537357144290945;-0.0023508536472995937;-0.001589016335625912;-0.010589452840142129;-0.0013836680010554116;-0.04901811388982674;0.0009785543463107635;-0.00042691522472432225;0.0012748274927364164;-0.010421636643313168;0.0018584333420206215;-0.00025838895739798074;0.0036935890152660477;-0.0077831535444263964;-0.005193029770931186;0.0006936712958429824;0.00247997308383376;-0.00122200636702358;Regiao[Norte]
