const;valor_cotado_log;descricao_tam_caracteres;descricao_qtd_palavras;qtd_itens_lote;InfoReq;ArqReq;UF[AC];UF[AM];UF[BA];UF[CE];UF[DF];UF[ES];UF[GO];UF[MA];UF[MG];UF[MS];UF[MT];UF[PA];UF[PB];UF[PE];UF[PI];UF[PR];UF[RJ];UF[RN];UF[RO];UF[RS];UF[SC];UF[SE];UF[TO];Modalidade[CONCORRÊNCIA ELETRÔNICA];Modalidade[CREDENCIAMENTO];Modalidade[DISPENSA ELETRÔNICA];Modalidade[LEILÃO ELETRÔNICO];Modalidade[LICITAÇÃO 13.303];Modalidade[SELEÇÃO PÚBLICA];TipoDisputa[MAIOR DESCONTO];TipoDisputa[MAIOR LANCE];TipoDisputa[MELHOR TÉCNICA];TipoDisputa[MELHOR TÉCNICA E PREÇO];TipoEncerramento[ABERTO E FECHADO];TipoEncerramento[FECHADO];TipoEncerramento[FECHADO E ABERTO];TipoLance[GLOBAL];TipoLance[KIT];tipo_lote_calc[Lote global];tipo_lote_calc[Lote global/kit];grupo_exclusividade_regionalidade[ME_EPP_E_REGIONAL_LOCAL];grupo_exclusividade_regionalidade[SOMENTE_ME_EPP];grupo_exclusividade_regionalidade[SOMENTE_REGIONAL_LOCAL];familia_textual_ml[FAMILIAS_RARAS_MENOS_100];familia_textual_ml[FAMILIA_02];familia_textual_ml[FAMILIA_05];familia_textual_ml[FAMILIA_07];familia_textual_ml[FAMILIA_09];familia_textual_ml[FAMILIA_10];familia_textual_ml[FAMILIA_12];familia_textual_ml[FAMILIA_14];familia_textual_ml[FAMILIA_16];familia_textual_ml[FAMILIA_17];familia_textual_ml[FAMILIA_18];familia_textual_ml[FAMILIA_19];termo
0.003285289828625749;3.360713475337351e-05;7.270555482962193e-05;-5.546206494787121e-05;0.0004821009868053024;-0.0002642445326621422;0.0008274841523521186;-0.0027412532699442275;-0.0014901106341098955;-0.002049248850078653;-0.0015798500796445534;-0.0007648348034840815;-0.0015382700400358247;-0.0017396467418726372;-0.0013425963829290313;-0.0019454403215159715;-0.0014339263874747373;-0.0016561322088462075;-0.002651627598641266;-0.002231711640539612;-0.0020829091762925955;-0.002883077132566782;-0.0015425535316800625;-0.0013105409452353286;0.0001582675262934667;-0.0025646845107077107;-0.0016146272850811427;-0.0022995061748323645;0.0008484387146292673;-0.0018273358608472353;-0.00788387548715971;-0.0003084886647917238;-0.000461330380577091;0.0073834759369199796;-6.664508237841885e-05;-0.0006967921650545927;9.539927074260508e-05;0.00048609844614361903;0.007268812472256112;0.006757110012538915;-0.0003360040953945024;-0.0003309535685002935;-0.0011268419957312565;-0.0003277766515758503;-0.0008684892204234981;-0.0020177282737824597;-0.0004595592499110023;-0.0005031686681043646;-9.71746526592005e-05;-0.00010144987739253056;-0.0013474307633611297;-0.0004134453985254857;0.00013960804101925033;-0.00011835764274328587;0.00027208109182503355;-0.00034376053349084474;-0.0003116322978114859;0.004490590035542492;0.00206771597242439;0.00044371188347501494;-0.000648950587247717;-0.0008094642723952674;const
3.3607134753373247e-05;7.779677195536962e-05;6.835436826457118e-05;-5.685433506414129e-05;8.929173696020089e-06;5.371189357234718e-05;-0.00019858030569700963;-0.00026042839857845073;5.583451812460315e-05;-0.00018214733284008917;-0.00046251713925545256;3.3433386976127036e-05;-0.00014409691520388894;5.8787975334905504e-06;-0.0007399709105964795;-0.00019321129658312006;-0.0001728766709319206;-9.461235357553544e-05;-0.0001790034835133927;-0.00027498750730623893;-0.0002692735706021625;-9.804393839241509e-05;-0.0001991238659215606;3.558184230675608e-05;-0.00042764337273438997;-0.00022735327172348713;-5.421890602292367e-05;-0.0002531643884923704;-0.0005731026476083884;-8.85875115850724e-05;-0.0010230159725220407;-3.829367104513185e-05;-0.00023395520330058401;-0.000744837261975848;-6.829776522690014e-07;-4.411002276432946e-05;-0.0003288213486135017;-5.839541293179095e-06;0.0010609133777240822;0.00045630365391404756;-4.418784292266606e-05;8.187776705079495e-05;-0.00025747808184789733;-8.934155836478167e-05;0.00013564796151184768;0.0003181341089257097;0.0005825941357859225;0.0002877393870146363;0.00024092517247248954;0.00016147735581424852;-3.427850150420368e-05;6.36696172581829e-05;-0.0001257320994061987;8.785605412440549e-05;0.00011872115766642212;6.377433497205933e-05;-0.00011734424961524667;0.0035556177361044665;0.0017498158978669284;0.0004583920078227875;1.2135985027540752e-05;1.4953706485393711e-05;valor_cotado_log
7.270555482962307e-05;6.835436826457091e-05;0.000577208613751586;-0.0004444090241354286;-2.9343390037463292e-05;-0.0003784906065469652;0.0004521929590177036;-0.00069206890146868;0.00023162868952566627;-0.0008599046686386507;-0.00034530480432022164;-0.00032161998888750724;-0.00035640912319027316;-0.0002330375991950797;-0.0012206422270711538;-0.00037891839125484553;-3.7984352738425594e-05;-0.00025262659269981446;-0.0004831487709069997;-0.0004864681424924588;-0.0007010744336716373;-0.0007316207243590123;-0.0003108037514863978;-0.00018802518239868869;-0.001028043282204725;-0.00033561357059016964;-0.0002812464907609768;-0.0008373961885901963;-0.0013458622132131097;-7.868314577863107e-05;-0.00046287834693964857;-0.0001500140753180379;-0.00035550175790984186;-0.001300710189586342;5.612741928627476e-05;-9.262501413580651e-05;-0.00047695078362169625;-2.0407342819008058e-05;0.0009982164999833528;-0.0002001550009465922;0.00012795893161571533;0.00011489615654211547;-0.0002652536332694168;8.899880368839503e-05;0.00029437450384953303;0.0005412092125162883;0.0010192634111519507;-0.00022453897487990392;0.000368063351620047;-0.0001938370098851577;-3.0796461617972276e-05;0.00010190463539332688;-0.00013106691457410877;-0.0005906061689245291;2.1559170148451418e-05;0.00023836316585302484;-0.00026726651481095287;0.006657513333870672;0.003261398713452756;0.0005680500709866647;3.2532140773767724e-05;9.918594180045263e-05;descricao_tam_caracteres
-5.546206494787211e-05;-5.685433506414122e-05;-0.0004444090241354294;0.0003464830880071295;2.673716329582902e-05;0.00032506658114905915;-0.0003997389951044073;0.0005562644150270802;-0.000140528902707261;0.0006638619682099716;0.0002447397146282854;0.0002530777247915414;0.00028404942035449967;0.00019251730938755931;0.001005449555380767;0.0002978349053951225;2.7193233595293037e-05;0.0002047863182821676;0.00039032402529063477;0.0003965888428675765;0.0005518631026693946;0.0006091670303427259;0.0002454369857707313;0.00014924275694387724;0.0008395063074414877;0.00029331614860653166;0.00021971965050145218;0.0006675615747596913;0.0011021877059718046;8.249566037608186e-05;0.00034110204950718717;0.0001391954063605959;0.0002991574208248057;0.001068078652298747;-4.1565202099066465e-05;6.80390832175416e-05;0.0004080771259967994;1.0172044291225063e-05;-0.0007615394135347409;0.00021566164760767245;-8.706090461222235e-05;-9.858069006202126e-05;0.00023501214519875012;-6.351009777361522e-05;-0.000232377869377833;-0.0004659389422385383;-0.0008445783705994388;0.00014478850403084497;-0.00029810771513657245;8.726013098415831e-05;1.9362660954360682e-05;-7.688622379342223e-05;9.471218275153305e-05;0.0004105588556692479;-1.8827842334974254e-05;-0.00019283096856636557;0.00022691916619639753;-0.0054010395591409825;-0.002665607541096087;-0.0004820220191964776;2.115173396229221e-05;-7.907262698681947e-05;descricao_qtd_palavras
0.0004821009868053039;8.929173696020051e-06;-2.934339003746446e-05;2.673716329582987e-05;0.00020368555036177108;3.95120799740043e-05;-4.1855493181552056e-07;-0.00034884622181704524;-1.9328554025714823e-05;0.00016535347683233008;6.755111220688155e-05;0.000166620695195844;5.0086902720576975e-05;9.8208345878579e-05;0.00027727416055119434;-2.2704583052639306e-05;2.227446622193175e-05;9.162041591961732e-05;-0.00012855715437675282;-0.00017801587986743738;-0.00014715939271549354;-0.00026905180273913306;7.898620195279656e-05;0.0001714637393456058;6.132805736513262e-05;-1.1686800865221499e-05;0.00012018285466822106;-0.00012564009331978132;0.0006456838670792162;-8.860807627440194e-05;-0.003001863558496939;0.0002828616916892077;0.0002429218827370787;0.0027693567840488655;3.127349595236467e-05;-0.0001689733819719255;0.0001836792519583672;0.0003711615282101051;0.0031825921870286787;0.0029452429622000074;0.00010994966672057222;-0.00017664423062669542;-0.0003275304151848196;-5.8567014378108144e-05;0.0005002116005326744;-0.000955652081443436;-0.0005905667101007899;0.0001412813327221889;-7.707202709503282e-06;0.00020102085049258263;-0.0005112423210336731;-9.631055715937831e-06;-1.128180915985627e-05;0.00011418224725246598;-9.937605619171792e-06;-1.848867701338281e-05;7.191592338988133e-05;-0.0010784109170766654;-0.0008118961798467142;0.0004532297519444214;-0.00012280943413067323;-9.678974595539439e-05;qtd_itens_lote
-0.0002642445326621422;5.3711893572347295e-05;-0.00037849060654696694;0.00032506658114906067;3.951207997400397e-05;0.059864435835862595;-0.06896836684913348;0.002232165834163696;0.0008722338544836357;0.0006832663478194328;-0.01402562740940409;0.0031451160394870524;0.0010530050126202146;0.000554235004479427;0.01664232256983266;0.0007530257915289854;0.0008182346112684921;-0.002720049811474068;-0.0012195302258689682;0.0012579021501483935;0.019843184499043647;0.02769049250241299;0.0013439526962652866;0.0005479488389696815;-0.000551352700688909;0.00789257189994083;0.002367098139113676;0.0008373888179879107;-0.0011035164745015788;0.000491447819709436;0.0003073375530825041;0.000823504784872723;0.0004417311370188236;-0.0008579627768848359;0.0021510449323535264;-0.0027367938966250454;0.00038979378104346643;-0.0011822479319334523;-0.0018713961724484973;-0.0016280183971451492;-0.0002816133199919814;0.0009857625195644306;0.00140167203804572;6.152942033604503e-06;0.003064267407412434;-0.001976745807946355;-0.0017488748304573486;-0.00151098798175055;-0.001030917878334762;0.00066190004575997;0.0007864221482561392;0.0003428557030221534;0.0007342144352385523;-0.00010549982128110572;0.0004628484019227274;8.876957436335747e-05;0.0019270224818519167;-0.012291158621411153;-0.006023883123036437;-0.0003081625610579224;0.0025430404451798486;0.00027695955221804057;InfoReq
0.0008274841523521219;-0.00019858030569700966;0.00045219295901770013;-0.00039973899510440487;-4.185549318152599e-07;-0.06896836684913332;0.11662865796432366;-0.002401188663130302;0.0008879229644837592;-0.003823671961417024;0.030893982937009144;-0.006287509999179935;-0.000848200253928325;-0.000376813061267221;-0.026874340444411896;-0.0008455633834978679;-0.003057715993534753;-0.000934106302786345;0.0019462969597194737;-0.001179576255623304;-0.010306168215168584;-0.0477909626851776;-0.0010109019043649894;-0.00037407879681706916;-0.0011219625371025727;-0.04108883901109578;-0.0031325084045519167;-0.001221630704326087;-0.0024615850336267547;-7.787196153809269e-05;-0.0013332787611273654;0.0006153830420153365;0.00037622901278622396;0.005781037361491584;0.0006220700157745511;0.0046776632252256535;0.00044102299031375684;0.0012821395976841566;0.003444911881569396;0.0033201175844404297;0.0020291449924326223;-0.0011769780306779816;-0.002669816642464793;-0.00014271326930055472;-0.0020444961103891876;0.0014320175552706921;-0.00016392083193928186;-0.0006327172710865014;0.0004230879634894275;-0.0032582827085579974;-0.0014267438532414303;-0.0004284211982087001;-0.000526995282284109;-0.0030053427767884433;0.0008506103290929252;-0.0012947802287964466;-0.002094009212219544;0.00738524566911164;0.002894859801746306;-0.0011187707055003511;-0.0034093541310636463;-0.0006160483592104293;ArqReq
-0.0027412532699442344;-0.0002604283985784504;-0.0006920689014686762;0.0005562644150270778;-0.000348846221817046;0.002232165834163692;-0.002401188663130303;0.37389981916070564;0.002825644906916183;0.006099783519016068;0.008955940551014764;0.002952958112784568;0.005111949443921166;0.0024799215973823714;0.008104126319055844;0.004133602898770091;0.003620861909088756;0.00325314063818869;0.005028276323627656;0.0068319801193828505;0.004498109751854223;0.00982638528489022;0.005341094024032212;0.002679061956685968;0.003876735056617563;0.002870211851184975;0.003177790913437036;0.00433678270136109;0.007689475185072623;0.004258561498898449;0.01219670335218028;-0.002129910954031555;0.002798584946101428;-0.002954610884685213;0.0001278310672759035;0.0004096033203286413;0.0017948309111346888;-0.0021627676575168837;-0.015586443624586768;-0.008662366122451734;-0.0007622563113047434;0.00193638042628455;0.004723810280199194;-0.002154284608066391;0.004218552689161465;-0.0049561798621774395;-0.008462517201834798;-0.00222305408206253;-0.003113714767931389;0.0008903801312045285;0.0022527873766877956;-5.5170741294096205e-05;0.00137897485411253;0.0012657081432779476;0.0020197554166306855;-0.00018606641995010302;0.0010968712221207126;-0.046025619899690416;-0.02304665603036334;-0.00032719891459270285;0.0001335208090536673;-5.087205904226891e-05;UF[AC]
-0.001490110634109903;5.583451812460304e-05;0.0002316286895256673;-0.0001405289027072612;-1.9328554025714664e-05;0.0008722338544836354;0.0008879229644837575;0.0028256449069161854;0.23968616059745013;-0.005678758595091127;0.0018030782714978206;0.0011690682308395965;0.0029579360990355684;0.0025616142422479923;-8.745582418797733e-05;0.005976200521600575;0.005938785761081827;0.0031155858600070904;0.002402661731840592;0.0022692679670029874;0.0031719712928516804;0.0022364476481337905;0.0051131081376789185;0.001738837060530133;-0.004996611460142301;-0.0003892584902468581;0.0017780525771633558;0.009280364729800329;-0.0025618513331463312;0.017803270963341996;0.0006471384803329727;-0.0025371361163353404;0.0021416157166474527;0.007647327738607678;0.0006636116776154909;-0.0025194218680579597;0.0016084771074417956;-0.0034774073776409693;-0.001719179369590008;-0.0005311005290103785;0.0024160138780560357;-0.0002261923721251133;0.006409592261590503;0.0010823562370038176;0.007925217989544186;-0.0033786470183539146;-0.003500023223961444;-0.017053564330055688;-0.0024594956656969905;-0.06371814053776588;0.0012710741710556344;-0.00048725046531435134;0.0006683291651360037;-0.013574331909871592;0.00449091390085824;0.00017383042992230897;0.006100070078916568;-0.013997307256687042;-0.007530141880550269;0.001013545120186752;0.003932995969268632;-0.0012978942840775427;UF[AM]
-0.002049248850078652;-0.00018214733284008908;-0.0008599046686386494;0.000663861968209971;0.00016535347683232986;0.0006832663478194305;-0.003823671961417022;0.006099783519016077;-0.005678758595091133;0.03511492022622648;0.005871252725127914;0.003004315470760483;0.004531645855254577;0.0031116012511442875;0.008907196582580908;0.0022846896213708037;0.0027425671090780626;0.003464170478518491;0.0034658348053583253;0.0048507615347377925;0.0041974468916075374;0.007096126754293375;0.004028098290843434;0.004239515428046742;0.0066278767269439135;0.005815909171667576;0.0038794310286287617;0.002047735598586308;0.008047216209962798;0.0017632134037830456;0.005360340844246345;0.0021719848344948357;0.001907986481892481;-0.025427506806983257;-0.00011311321015200826;0.004300518984648818;0.0009314181043911562;0.00020038949520797926;-0.004136378359618356;-0.0026935614294359795;-0.0016762519898349617;-0.0013296219531214878;-0.004762753015292712;-0.008823066935151473;-0.0075301808377902565;0.005108959793040094;-0.0010526672391536142;0.010055375559688927;-0.002620028145664043;0.010503566846776632;0.00012001284581192782;-0.0015412827589413624;-0.001635706676764347;0.017616173012730066;-0.010738917448283815;-0.0007856541943903218;-0.0013976362626154108;-0.04470831016548437;-0.022431354627946924;-0.0020553059890567227;0.0005080563255744985;-0.002286348238358696;UF[BA]
